"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"124","RT @InformalDiario: Imagen EXCLUSIVA de como quedó la Aguilar Batres luego del #traficogt de los últimos días por la #lluviagt (y la impeca…",FALSE,0,NA,2018-10-19 20:15:23,FALSE,NA,"1053379103422926850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pchua85",16,TRUE,FALSE,NA,NA,2018-10-19 14:15:23
"125","RT @InformalDiario: Imagen EXCLUSIVA de como quedó la Aguilar Batres luego del #traficogt de los últimos días por la #lluviagt (y la impeca…",FALSE,0,NA,2018-10-19 20:10:30,FALSE,NA,"1053377875263582209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SantizoAxl",16,TRUE,FALSE,NA,NA,2018-10-19 14:10:30
"126","RT @hombretraficogt: Bronca en 2 avenida 7 calle zona 1 <U+0001F6D1>

Bici-taxista y Auto-taxista se pelearon, ya que no hubo cortesía para darse vía.…",FALSE,0,NA,2018-10-19 20:08:40,FALSE,NA,"1053377412191404032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lasalva352",51,TRUE,FALSE,NA,NA,2018-10-19 14:08:40
"127","RT @piucarrera: Si me miran en el bello #TraficoGT hay me saludan, no sean maleducados. <U+0001F601> https://t.co/3UMkpH8TcG",FALSE,0,NA,2018-10-19 20:08:38,FALSE,NA,"1053377402028601345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jcbandido07",5,TRUE,FALSE,NA,NA,2018-10-19 14:08:38
"128","RT @DashcamGT: Si hay un carro con pide vías puesto para virar debes esperar para rebasar. El motorista tuvo que esperar para no arriesgars…",FALSE,0,NA,2018-10-19 20:07:07,FALSE,NA,"1053377020179177474",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","selrovert",8,TRUE,FALSE,NA,NA,2018-10-19 14:07:07
"129","@PMTVILLACANALES @traficogt lento en subida de Boca del Monte a Villa Hermosa. Urge ayuda. Gracias.",FALSE,1,"PMTVILLACANALES",2018-10-19 20:00:45,FALSE,NA,"1053375421155295232","4785000492","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YOpino_Que",2,FALSE,FALSE,NA,NA,2018-10-19 14:00:45
"130","RT @dominisinc: Propongo sacar el aeropuerto de la ciudad y donde está ahora hacer calles y avenidas para tener más rutas alternas y alivia…",FALSE,0,NA,2018-10-19 19:50:39,FALSE,NA,"1053372879478362112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dominisinc",1,TRUE,FALSE,NA,NA,2018-10-19 13:50:39
"131","RT @PampichiNews: #Atencion

Tomé en cuenta que se reporta #TráficoGT en la ruta al Pacífico en dirección hacia el sur entre #VillaNueva y…",FALSE,0,NA,2018-10-19 19:50:13,FALSE,NA,"1053372770678128640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PampichiNews",5,TRUE,FALSE,NA,NA,2018-10-19 13:50:13
"132","RT @PampichiNews: #Atencion

Tomé en cuenta que se reporta #TráficoGT en la ruta al Pacífico en dirección hacia el sur entre #VillaNueva y…",FALSE,0,NA,2018-10-19 19:50:01,FALSE,NA,"1053372717313998849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","walter2019I",5,TRUE,FALSE,NA,NA,2018-10-19 13:50:01
"133","Dicen que como nos quejamos por el aumento de la gasolina, ahora nos tocará remar en #TráficoGT <U+0001F602><U+0001F605> así nos ahorramo… https://t.co/oL8Gb3bvDu",FALSE,3,NA,2018-10-19 19:49:19,TRUE,NA,"1053372543225290757",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Allan_Luther",2,FALSE,FALSE,NA,NA,2018-10-19 13:49:19
"134","RT @PampichiNews: #Atencion

Tomé en cuenta que se reporta #TráficoGT en la ruta al Pacífico en dirección hacia el sur entre #VillaNueva y…",FALSE,0,NA,2018-10-19 19:46:54,FALSE,NA,"1053371936003289088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_ernesto1394",5,TRUE,FALSE,NA,NA,2018-10-19 13:46:54
"135","#Atencion

Tomé en cuenta que se reporta #TráficoGT en la ruta al Pacífico en dirección hacia el sur entre… https://t.co/whU71V40go",FALSE,12,NA,2018-10-19 19:46:01,TRUE,NA,"1053371712664932352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PampichiNews",5,FALSE,FALSE,NA,NA,2018-10-19 13:46:01
"136","RT @muniguate: <U+0001F6A7>AVISO IMPORTANTE <U+0001F6A7>

Se informa sobre cierres y desvíos temporales por trabajos de MICIVI en la estructura del Puente Belice…",FALSE,0,NA,2018-10-19 19:45:39,FALSE,NA,"1053371620432191489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KatinaAnaite",20,TRUE,FALSE,NA,NA,2018-10-19 13:45:39
"137","RT @DashcamGT: Y luego se hacen las víctimas, cuando ellos mismos se ponen en peligro. Aparte de ir contra la vía, coloca el pie en el carr…",FALSE,0,NA,2018-10-19 19:43:30,FALSE,NA,"1053371077353766913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lofirolu",12,TRUE,FALSE,NA,NA,2018-10-19 13:43:30
